,Accepted Currencies,Coin Symbol,Country,Funding Goal,Funds in Escrow?,Have Prototype?,Initial Token Price,Platform,Pre-ICO Dates,Price Now,ROI,Restricted Countries,Total Raised,Total Tokens,name,url,description,end_time,image,price_usd,start_time,timezone,website_link
0,,REP,Unknown,,No,,$0.5800,Ethereum,,$15.43,"2,560.43%",United States,"$5,100,000",,augur,https://icowatchlist.com/ico/augur,Augur is a decentralized prediction market,2015-10-01 00:00:00,https://icowatchlist.com/logos/augur.png,19.21,2015-08-17 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/augur
1,,LSK,Germany,,No,,$0.0747,Not Available,,$1.64,"2,095.79%",United States,"$6,350,000",,lisk,https://icowatchlist.com/ico/lisk,It is a cryptocurrency and decentralized application platform,2016-03-21 00:00:00,https://icowatchlist.com/logos/lisk.png,1.83,2016-02-22 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/lisk
2,,DGD,Singapore,,No,,$3.2400,Ethereum,,$19.47,500.93%,United States,"$5,500,000",,digixdao,https://icowatchlist.com/ico/digixdao,A Decentralized Autonomous Organization focused on goldtracking assets,2016-03-30 12:00:00,https://icowatchlist.com/logos/digixdao.png,36.92,2016-03-30 12:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/digixdao
3,,WAVES,Unknown,,No,,$0.1880,Waves,,$2.84,"1,409.15%",United States,"$16,010,000",,waves,https://icowatchlist.com/ico/waves,Waves helps to make the launching and coordination of projects on blockchain very easy,2016-05-31 13:00:00,https://icowatchlist.com/logos/waves.png,2.24,2016-04-12 13:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/waves
4,,STRAT,United Kingdom,,No,,$0.0073,Stratis,,$0.97,"13,067.75%",United States,"$590,000",,stratis,https://icowatchlist.com/ico/stratis,Stratis was developed to help organisations develop their own private blockchains,2016-07-26 00:00:00,https://icowatchlist.com/logos/stratis.png,0.75,2016-06-21 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/stratis
5,,XTO,United States,,No,,$0.0100,Not Available,,$0.18,,United States,,,taonetwork,https://icowatchlist.com/ico/taonetwork,Tao Network posits itself as a digital asset management system meant to be used by stakeholders in the music industry,2016-08-15 00:00:00,https://icowatchlist.com/logos/taonetwork.png,0.18,2016-07-16 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/taonetwork
6,,INCNT,Australia,,No,,$0.0470,Waves,,$0.14,205.74%,United States,"$1,100,000",,incent,https://icowatchlist.com/ico/incent,Incent is a blockchain based loyalty program for traders especially retailers,2016-09-01 00:00:00,https://icowatchlist.com/logos/incent.png,0.14,2016-09-01 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/incent
7,,NEO,China,,No,,$0.1590,NEO,,$9.34,"5,772.86%",United States,"$3,800,000",,neo,https://icowatchlist.com/ico/neo,NEO is a China based smart contract Blockchain project that aims to revolutionize the way ecommerce operates,2016-09-07 00:00:00,https://icowatchlist.com/logos/neo.png,8.79,2016-08-08 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/neo
8,,BLOCKPAY,Denmark,,No,,$0.1240,Bitcoin Fork,,$0.03,,United States,,,blockpay,https://icowatchlist.com/ico/blockpay,This is a retail platform that allows multicryptocurrency payment,2016-09-15 00:00:00,https://icowatchlist.com/logos/blockpay.png,0.04,2016-08-15 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/blockpay
9,,1ST,United States,,No,,$0.0692,Ethereum,,$0.05,-23.72%,United States,"$5,500,000",,firstblood,https://icowatchlist.com/ico/firstblood,FirstBlood is a eSports matches and betting project,2016-09-26 12:00:00,https://icowatchlist.com/logos/firstblood.png,0.10,2016-09-25 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/firstblood
10,,ICN,Unknown,,No,,$0.1200,Ethereum,,$0.12,-3.42%,United States,"$10,680,000",,iconomi,https://icowatchlist.com/ico/iconomi,The Iconomi platform helps users with simple methods to enter the growing distributed economy,2016-09-26 12:00:00,https://icowatchlist.com/logos/iconomi.png,0.19,2016-08-25 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/iconomi
11,,LKK,Switzerland,,No,,$0.0500,Blockchain,,$0.02,-53.84%,United States,"$1,200,000",,lykke,https://icowatchlist.com/ico/lykke,Global market space based on blockchain,2016-10-09 06:00:00,https://icowatchlist.com/logos/lykke.png,0.01,2016-10-09 06:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/lykke
12,,AMP,Israel,,No,,$0.1597,Not Available,,$0.02,-88.32%,United States,"$4,700,000",,synereo,https://icowatchlist.com/ico/synereo,Synereo is a decentralized and distributed social network,2016-10-18 12:00:00,https://icowatchlist.com/logos/synereo.png,0.02,2016-09-18 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/synereo
13,,SNGLS,United States,,No,,$0.0150,Ethereum,,$0.02,21.93%,United States,"$7,500,000",,singulardtv,https://icowatchlist.com/ico/singulardtv,This is a film and television studio and also a distribution portal based on blockchain technology,2016-10-29 12:00:00,https://icowatchlist.com/logos/singulardtv.png,0.01,2016-10-05 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/singulardtv
14,,NXC,Unknown,,No,,$0.0100,Ethereum,,,,United States,"$400,000",,beyondthevoid,https://icowatchlist.com/ico/beyondthevoid,Video Game in Real Time,2016-11-01 13:00:00,https://icowatchlist.com/logos/beyondthevoid.png,NA,2016-10-01 06:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/beyondthevoid
15,,DCT,Switzerland,,No,,$0.1183,Not Available,,$0.07,-39.53%,United States,"$4,130,000",,decent,https://icowatchlist.com/ico/decent,Decent is a content distribution project,2016-11-10 12:00:00,https://icowatchlist.com/logos/decent.png,0.09,2016-10-10 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/decent
16,,GNT,Poland,,No,,$0.1040,Ethereum,,$0.08,-18.44%,United States,"$8,600,000",,golem,https://icowatchlist.com/ico/golem,The Golem platform enables personal computers to perform functions traditionally reserved for servers,2016-11-13 00:00:00,https://icowatchlist.com/logos/golem.png,0.07,2016-10-13 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/golem
17,,ARK,United States,,No,,$0.0100,Blockchain,,$0.67,"6,615.76%",United States,"$998,000",,ark,https://icowatchlist.com/ico/ark,The Ark project aims to make cryptocurrency adoption mainstream as quickly as possible,2016-12-12 00:00:00,https://icowatchlist.com/logos/ark.png,0.44,2016-11-07 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/ark
18,,VSLICE,Unknown,,No,,$0.0000,Ethereum,,,,United States,,,vdiceio,https://icowatchlist.com/ico/vdiceio,Betting Game based on the Ethereum Blockchain,2016-12-15 02:00:00,https://icowatchlist.com/logos/vdiceio.png,NA,2016-11-15 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/vdiceio
19,,KMD,Unknown,,No,,$0.0220,Blockchain,,$1.11,"4,925.24%",United States,"$1,980,000",,komodo,https://icowatchlist.com/ico/komodo,Komodo is a decentralized ICO platform,2016-12-16 12:00:00,https://icowatchlist.com/logos/komodo.png,1.19,2016-10-15 12:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/komodo
20,,Golos,Russian Federation,,No,,$0.0100,Not Available,,,,United States,"$462,000",,golos,https://icowatchlist.com/ico/golos,Golos is open source technology bringing the power of voice media to blockchain,2016-12-22 12:00:00,https://icowatchlist.com/logos/golos.png,NA,2016-11-22 12:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/golos
21,,CREA,Spain,,No,,$0.0246,Blockchain,,$0.01,-53.01%,United States,"$300,000",,creativecoin,https://icowatchlist.com/ico/creativecoin,CreativeCoin for the registration and distribution of creative works and rights,2017-01-05 00:00:00,https://icowatchlist.com/logos/creativecoin.png,0.02,2017-03-15 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/creativecoin
22,,WINGS,Russian Federation,,No,,$0.0260,Rootstock,,$0.05,76.15%,United States,"$2,000,000",,wings,https://icowatchlist.com/ico/wings,A decentralized platform for the creation management and interlinking of DAOs,2017-01-06 00:00:00,https://icowatchlist.com/logos/wings.png,0.05,2016-11-18 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/wings
23,,TKS,United States,,No,,$0.1622,Waves,,$0.31,90.44%,United States,"$81,100",,tokes,https://icowatchlist.com/ico/tokes,Tokes is a digital currency project for the legalization of the cannabis industry,2017-01-16 12:00:00,https://icowatchlist.com/logos/tokes.png,0.32,2016-12-12 12:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/tokes
24,,TIME,Australia,,No,,$30.0000,Ethereum,,$1.79,-94.03%,United States,"$5,400,000",,chronobank,https://icowatchlist.com/ico/chronobank,Time based currencies on multiple blockchains,2017-02-15 13:00:00,https://icowatchlist.com/logos/chronobank.png,2.38,2016-12-15 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/chronobank
25,,QTUM,China,,No,,$0.1500,Blockchain,,$2.58,"1,619.66%",United States,"$15,000,000",,qtum,https://icowatchlist.com/ico/qtum,A smart contract platform for PoS transactions,2017-03-17 00:00:00,https://icowatchlist.com/logos/qtum.png,2.36,2017-03-12 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/qtum
26,,EDG,Lithuania,,No,,$0.0220,Ethereum,,$0.12,467.73%,United States,"$2,650,000",,edgeless,https://icowatchlist.com/ico/edgeless,Edgeless solves Casino transparency problems through the use of the Ethereum blockchain,2017-03-21 00:00:00,https://icowatchlist.com/logos/edgeless.png,0.09,2017-02-28 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/edgeless
