Accepted Currencies,Coin Symbol,Country,Funding Goal,Funds in Escrow?,Github URL,Have Prototype?,Initial Token Price,Official Website,Platform,Pre-ICO Dates,Price Now,ROI,Restricted Countries,Total Raised,Total Tokens,branches,commits,forks,name,stars,url,watchers,description,end_time,image,price_usd,start_time,timezone,website_link
,REP,Unknown,,No,https://github.com/AugurProject,,$0.5800,https://www.augur.net/,Ethereum,,$15.43,"2,560.43%",United States,"$5,100,000",,644,85017,32289,augur,1630,https://icowatchlist.com/ico/augur,590,Augur is a decentralized prediction market,2015-10-01 00:00:00,https://icowatchlist.com/logos/augur.png,19.21,2015-08-17 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/augur
,LSK,Germany,,No,https://github.com/LiskHQ,,$0.0747,https://lisk.io/,Not Available,,$1.64,"2,095.79%",United States,"$6,350,000",,283,41575,2777,lisk,3615,https://icowatchlist.com/ico/lisk,656,It is a cryptocurrency and decentralized application platform,2016-03-21 00:00:00,https://icowatchlist.com/logos/lisk.png,1.83,2016-02-22 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/lisk
,DGD,Singapore,,No,https://github.com/digixglobal,,$3.2400,https://www.dgx.io/dgd/,Ethereum,,$19.47,500.93%,United States,"$5,500,000",,714,29437,20195,digixdao,655,https://icowatchlist.com/ico/digixdao,324,A Decentralized Autonomous Organization focused on goldtracking assets,2016-03-30 12:00:00,https://icowatchlist.com/logos/digixdao.png,36.92,2016-03-30 12:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/digixdao
,WAVES,Unknown,,No,https://github.com/WAVESPLATFORM/,,$0.1880,https://wavesplatform.com/,Waves,,$2.84,"1,409.15%",United States,"$16,010,000",,703,52588,2549,waves,2244,https://icowatchlist.com/ico/waves,1135,Waves helps to make the launching and coordination of projects on blockchain very easy,2016-05-31 13:00:00,https://icowatchlist.com/logos/waves.png,2.24,2016-04-12 13:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/waves
,STRAT,United Kingdom,,No,,,$0.0073,https://stratisplatform.com/,Stratis,,$0.97,"13,067.75%",United States,"$590,000",,0,0,0,stratis,0,https://icowatchlist.com/ico/stratis,0,Stratis was developed to help organisations develop their own private blockchains,2016-07-26 00:00:00,https://icowatchlist.com/logos/stratis.png,0.75,2016-06-21 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/stratis
,XTO,United States,,No,,,$0.0100,http://tao.network/,Not Available,,$0.18,,United States,,,0,0,0,taonetwork,0,https://icowatchlist.com/ico/taonetwork,0,Tao Network posits itself as a digital asset management system meant to be used by stakeholders in the music industry,2016-08-15 00:00:00,https://icowatchlist.com/logos/taonetwork.png,0.18,2016-07-16 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/taonetwork
,INCNT,Australia,,No,,,$0.0470,http://incent.bitscan.com/,Waves,,$0.14,205.74%,United States,"$1,100,000",,0,0,0,incent,0,https://icowatchlist.com/ico/incent,0,Incent is a blockchain based loyalty program for traders especially retailers,2016-09-01 00:00:00,https://icowatchlist.com/logos/incent.png,0.14,2016-09-01 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/incent
,NEO,China,,No,,,$0.1590,https://neo.org/,NEO,,$9.34,"5,772.86%",United States,"$3,800,000",,0,0,0,neo,0,https://icowatchlist.com/ico/neo,0,NEO is a China based smart contract Blockchain project that aims to revolutionize the way ecommerce operates,2016-09-07 00:00:00,https://icowatchlist.com/logos/neo.png,8.79,2016-08-08 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/neo
,BLOCKPAY,Denmark,,No,,,$0.1240,https://blockpay.ch/,Bitcoin Fork,,$0.03,,United States,,,0,0,0,blockpay,0,https://icowatchlist.com/ico/blockpay,0,This is a retail platform that allows multicryptocurrency payment,2016-09-15 00:00:00,https://icowatchlist.com/logos/blockpay.png,0.04,2016-08-15 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/blockpay
,1ST,United States,,No,https://github.com/firstbloodio,,$0.0692,https://firstblood.io/,Ethereum,,$0.05,-23.72%,United States,"$5,500,000",,84,3559,1921,firstblood,138,https://icowatchlist.com/ico/firstblood,36,FirstBlood is a eSports matches and betting project,2016-09-26 12:00:00,https://icowatchlist.com/logos/firstblood.png,0.10,2016-09-25 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/firstblood
,ICN,Unknown,,No,,,$0.1200,https://www.iconomi.net/,Ethereum,,$0.12,-3.42%,United States,"$10,680,000",,0,0,0,iconomi,0,https://icowatchlist.com/ico/iconomi,0,The Iconomi platform helps users with simple methods to enter the growing distributed economy,2016-09-26 12:00:00,https://icowatchlist.com/logos/iconomi.png,0.19,2016-08-25 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/iconomi
,LKK,Switzerland,,No,https://github.com/LykkeCity/,,$0.0500,https://www.lykke.com/,Blockchain,,$0.02,-53.84%,United States,"$1,200,000",,2832,77175,4810,lykke,249,https://icowatchlist.com/ico/lykke,4909,Global market space based on blockchain,2016-10-09 06:00:00,https://icowatchlist.com/logos/lykke.png,0.01,2016-10-09 06:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/lykke
,AMP,Israel,,No,https://github.com/synereo,,$0.1597,https://www.synereo.com/,Not Available,,$0.02,-88.32%,United States,"$4,700,000",,31,4457,103,synereo,138,https://icowatchlist.com/ico/synereo,139,Synereo is a decentralized and distributed social network,2016-10-18 12:00:00,https://icowatchlist.com/logos/synereo.png,0.02,2016-09-18 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/synereo
