Accepted Currencies,Coin Symbol,Country,Funding Goal,Funds in Escrow?,Have Prototype?,Initial Token Price,Platform,Pre-ICO Dates,Price Now,ROI,Restricted Countries,Total Raised,Total Tokens,name,url
,REP,Unknown,,No,,$0.5800,Ethereum,,$15.43,"2,560.43%",United States,"$5,100,000",,augur,https://icowatchlist.com/ico/augur
,LSK,Germany,,No,,$0.0747,Not Available,,$1.64,"2,095.79%",United States,"$6,350,000",,lisk,https://icowatchlist.com/ico/lisk
,DGD,Singapore,,No,,$3.2400,Ethereum,,$19.47,500.93%,United States,"$5,500,000",,digixdao,https://icowatchlist.com/ico/digixdao
,WAVES,Unknown,,No,,$0.1880,Waves,,$2.84,"1,409.15%",United States,"$16,010,000",,waves,https://icowatchlist.com/ico/waves
,STRAT,United Kingdom,,No,,$0.0073,Stratis,,$0.97,"13,067.75%",United States,"$590,000",,stratis,https://icowatchlist.com/ico/stratis
,XTO,United States,,No,,$0.0100,Not Available,,$0.18,,United States,,,taonetwork,https://icowatchlist.com/ico/taonetwork
,INCNT,Australia,,No,,$0.0470,Waves,,$0.14,205.74%,United States,"$1,100,000",,incent,https://icowatchlist.com/ico/incent
,NEO,China,,No,,$0.1590,NEO,,$9.34,"5,772.86%",United States,"$3,800,000",,neo,https://icowatchlist.com/ico/neo
,BLOCKPAY,Denmark,,No,,$0.1240,Bitcoin Fork,,$0.03,,United States,,,blockpay,https://icowatchlist.com/ico/blockpay
,1ST,United States,,No,,$0.0692,Ethereum,,$0.05,-23.72%,United States,"$5,500,000",,firstblood,https://icowatchlist.com/ico/firstblood
,ICN,Unknown,,No,,$0.1200,Ethereum,,$0.12,-3.42%,United States,"$10,680,000",,iconomi,https://icowatchlist.com/ico/iconomi
,LKK,Switzerland,,No,,$0.0500,Blockchain,,$0.02,-53.84%,United States,"$1,200,000",,lykke,https://icowatchlist.com/ico/lykke
,AMP,Israel,,No,,$0.1597,Not Available,,$0.02,-88.32%,United States,"$4,700,000",,synereo,https://icowatchlist.com/ico/synereo
,SNGLS,United States,,No,,$0.0150,Ethereum,,$0.02,21.93%,United States,"$7,500,000",,singulardtv,https://icowatchlist.com/ico/singulardtv
,NXC,Unknown,,No,,$0.0100,Ethereum,,,,United States,"$400,000",,beyondthevoid,https://icowatchlist.com/ico/beyondthevoid
,DCT,Switzerland,,No,,$0.1183,Not Available,,$0.07,-39.53%,United States,"$4,130,000",,decent,https://icowatchlist.com/ico/decent
,GNT,Poland,,No,,$0.1040,Ethereum,,$0.08,-18.44%,United States,"$8,600,000",,golem,https://icowatchlist.com/ico/golem
,ARK,United States,,No,,$0.0100,Blockchain,,$0.67,"6,615.76%",United States,"$998,000",,ark,https://icowatchlist.com/ico/ark
,VSLICE,Unknown,,No,,$0.0000,Ethereum,,,,United States,,,vdiceio,https://icowatchlist.com/ico/vdiceio
,KMD,Unknown,,No,,$0.0220,Blockchain,,$1.11,"4,925.24%",United States,"$1,980,000",,komodo,https://icowatchlist.com/ico/komodo
,Golos,Russian Federation,,No,,$0.0100,Not Available,,,,United States,"$462,000",,golos,https://icowatchlist.com/ico/golos
,CREA,Spain,,No,,$0.0246,Blockchain,,$0.01,-53.01%,United States,"$300,000",,creativecoin,https://icowatchlist.com/ico/creativecoin
,WINGS,Russian Federation,,No,,$0.0260,Rootstock,,$0.05,76.15%,United States,"$2,000,000",,wings,https://icowatchlist.com/ico/wings
,TKS,United States,,No,,$0.1622,Waves,,$0.31,90.44%,United States,"$81,100",,tokes,https://icowatchlist.com/ico/tokes
,TIME,Australia,,No,,$30.0000,Ethereum,,$1.79,-94.03%,United States,"$5,400,000",,chronobank,https://icowatchlist.com/ico/chronobank
,QTUM,China,,No,,$0.1500,Blockchain,,$2.58,"1,619.66%",United States,"$15,000,000",,qtum,https://icowatchlist.com/ico/qtum
,EDG,Lithuania,,No,,$0.0220,Ethereum,,$0.12,467.73%,United States,"$2,650,000",,edgeless,https://icowatchlist.com/ico/edgeless
