Accepted Currencies,Coin Symbol,Country,Funding Goal,Funds in Escrow?,Github URL,Have Prototype?,Initial Token Price,Official Website,Platform,Pre-ICO Dates,Price Now,ROI,Restricted Countries,Total Raised,Total Tokens,name,url
,REP,Unknown,,No,https://github.com/AugurProject,,$0.5800,https://www.augur.net/,Ethereum,,$15.43,"2,560.43%",United States,"$5,100,000",,augur,https://icowatchlist.com/ico/augur
,LSK,Germany,,No,https://github.com/LiskHQ,,$0.0747,https://lisk.io/,Not Available,,$1.64,"2,095.79%",United States,"$6,350,000",,lisk,https://icowatchlist.com/ico/lisk
,DGD,Singapore,,No,https://github.com/digixglobal,,$3.2400,https://www.dgx.io/dgd/,Ethereum,,$19.47,500.93%,United States,"$5,500,000",,digixdao,https://icowatchlist.com/ico/digixdao
,WAVES,Unknown,,No,https://github.com/WAVESPLATFORM/,,$0.1880,https://wavesplatform.com/,Waves,,$2.84,"1,409.15%",United States,"$16,010,000",,waves,https://icowatchlist.com/ico/waves
,STRAT,United Kingdom,,No,,,$0.0073,https://stratisplatform.com/,Stratis,,$0.97,"13,067.75%",United States,"$590,000",,stratis,https://icowatchlist.com/ico/stratis
,XTO,United States,,No,,,$0.0100,http://tao.network/,Not Available,,$0.18,,United States,,,taonetwork,https://icowatchlist.com/ico/taonetwork
,INCNT,Australia,,No,,,$0.0470,http://incent.bitscan.com/,Waves,,$0.14,205.74%,United States,"$1,100,000",,incent,https://icowatchlist.com/ico/incent
,NEO,China,,No,,,$0.1590,https://neo.org/,NEO,,$9.34,"5,772.86%",United States,"$3,800,000",,neo,https://icowatchlist.com/ico/neo
,BLOCKPAY,Denmark,,No,,,$0.1240,https://blockpay.ch/,Bitcoin Fork,,$0.03,,United States,,,blockpay,https://icowatchlist.com/ico/blockpay
,1ST,United States,,No,https://github.com/firstbloodio,,$0.0692,https://firstblood.io/,Ethereum,,$0.05,-23.72%,United States,"$5,500,000",,firstblood,https://icowatchlist.com/ico/firstblood
,ICN,Unknown,,No,,,$0.1200,https://www.iconomi.net/,Ethereum,,$0.12,-3.42%,United States,"$10,680,000",,iconomi,https://icowatchlist.com/ico/iconomi
,LKK,Switzerland,,No,https://github.com/LykkeCity/,,$0.0500,https://www.lykke.com/,Blockchain,,$0.02,-53.84%,United States,"$1,200,000",,lykke,https://icowatchlist.com/ico/lykke
,AMP,Israel,,No,https://github.com/synereo,,$0.1597,https://www.synereo.com/,Not Available,,$0.02,-88.32%,United States,"$4,700,000",,synereo,https://icowatchlist.com/ico/synereo
,SNGLS,United States,,No,https://github.com/ConsenSys/singulardtv-contracts,,$0.0150,https://singulardtv.com/,Ethereum,,$0.02,21.93%,United States,"$7,500,000",,singulardtv,https://icowatchlist.com/ico/singulardtv
,NXC,Unknown,,No,,,$0.0100,http://beyond-the-void.net/,Ethereum,,,,United States,"$400,000",,beyondthevoid,https://icowatchlist.com/ico/beyondthevoid
,DCT,Switzerland,,No,,,$0.1183,http://decent.ch/,Not Available,,$0.07,-39.53%,United States,"$4,130,000",,decent,https://icowatchlist.com/ico/decent
,GNT,Poland,,No,https://github.com/golemfactory/golem,,$0.1040,https://golem.network/,Ethereum,,$0.08,-18.44%,United States,"$8,600,000",,golem,https://icowatchlist.com/ico/golem
,ARK,United States,,No,https://github.com/arkecosystem,,$0.0100,https://ark.io/,Blockchain,,$0.67,"6,615.76%",United States,"$998,000",,ark,https://icowatchlist.com/ico/ark
,VSLICE,Unknown,,No,,,$0.0000,https://www.vdice.io/,Ethereum,,,,United States,,,vdiceio,https://icowatchlist.com/ico/vdiceio
,KMD,Unknown,,No,,,$0.0220,https://komodoplatform.com/,Blockchain,,$1.11,"4,925.24%",United States,"$1,980,000",,komodo,https://icowatchlist.com/ico/komodo
