Accepted Currencies,Coin Symbol,Country,Funding Goal,Funds in Escrow?,Github URL,Have Prototype?,Initial Token Price,Official Website,Platform,Pre-ICO Dates,Price Now,ROI,Restricted Countries,Total Raised,Total Tokens,branches,commits,forks,name,stars,url,watchers
,REP,Unknown,,No,https://github.com/AugurProject,,$0.5800,https://www.augur.net/,Ethereum,,$15.43,"2,560.43%",United States,"$5,100,000",,644,85017,32289,augur,1630,https://icowatchlist.com/ico/augur,590
,LSK,Germany,,No,https://github.com/LiskHQ,,$0.0747,https://lisk.io/,Not Available,,$1.64,"2,095.79%",United States,"$6,350,000",,283,41575,2777,lisk,3615,https://icowatchlist.com/ico/lisk,656
,DGD,Singapore,,No,https://github.com/digixglobal,,$3.2400,https://www.dgx.io/dgd/,Ethereum,,$19.47,500.93%,United States,"$5,500,000",,714,29437,20195,digixdao,655,https://icowatchlist.com/ico/digixdao,324
,WAVES,Unknown,,No,https://github.com/WAVESPLATFORM/,,$0.1880,https://wavesplatform.com/,Waves,,$2.84,"1,409.15%",United States,"$16,010,000",,703,52588,2549,waves,2244,https://icowatchlist.com/ico/waves,1135
,STRAT,United Kingdom,,No,,,$0.0073,https://stratisplatform.com/,Stratis,,$0.97,"13,067.75%",United States,"$590,000",,0,0,0,stratis,0,https://icowatchlist.com/ico/stratis,0
,XTO,United States,,No,,,$0.0100,http://tao.network/,Not Available,,$0.18,,United States,,,0,0,0,taonetwork,0,https://icowatchlist.com/ico/taonetwork,0
,INCNT,Australia,,No,,,$0.0470,http://incent.bitscan.com/,Waves,,$0.14,205.74%,United States,"$1,100,000",,0,0,0,incent,0,https://icowatchlist.com/ico/incent,0
,NEO,China,,No,,,$0.1590,https://neo.org/,NEO,,$9.34,"5,772.86%",United States,"$3,800,000",,0,0,0,neo,0,https://icowatchlist.com/ico/neo,0
,BLOCKPAY,Denmark,,No,,,$0.1240,https://blockpay.ch/,Bitcoin Fork,,$0.03,,United States,,,0,0,0,blockpay,0,https://icowatchlist.com/ico/blockpay,0
,1ST,United States,,No,https://github.com/firstbloodio,,$0.0692,https://firstblood.io/,Ethereum,,$0.05,-23.72%,United States,"$5,500,000",,84,3559,1921,firstblood,138,https://icowatchlist.com/ico/firstblood,36
,ICN,Unknown,,No,,,$0.1200,https://www.iconomi.net/,Ethereum,,$0.12,-3.42%,United States,"$10,680,000",,0,0,0,iconomi,0,https://icowatchlist.com/ico/iconomi,0
,LKK,Switzerland,,No,https://github.com/LykkeCity/,,$0.0500,https://www.lykke.com/,Blockchain,,$0.02,-53.84%,United States,"$1,200,000",,2832,77175,4810,lykke,249,https://icowatchlist.com/ico/lykke,4909
,AMP,Israel,,No,https://github.com/synereo,,$0.1597,https://www.synereo.com/,Not Available,,$0.02,-88.32%,United States,"$4,700,000",,31,4457,103,synereo,138,https://icowatchlist.com/ico/synereo,139
,SNGLS,United States,,No,https://github.com/ConsenSys/singulardtv-contracts,,$0.0150,https://singulardtv.com/,Ethereum,,$0.02,21.93%,United States,"$7,500,000",,6,121,13,singulardtv,20,https://icowatchlist.com/ico/singulardtv,25
,NXC,Unknown,,No,,,$0.0100,http://beyond-the-void.net/,Ethereum,,,,United States,"$400,000",,0,0,0,beyondthevoid,0,https://icowatchlist.com/ico/beyondthevoid,0
,DCT,Switzerland,,No,,,$0.1183,http://decent.ch/,Not Available,,$0.07,-39.53%,United States,"$4,130,000",,0,0,0,decent,0,https://icowatchlist.com/ico/decent,0
,GNT,Poland,,No,https://github.com/golemfactory/golem,,$0.1040,https://golem.network/,Ethereum,,$0.08,-18.44%,United States,"$8,600,000",,195,9010,305,golem,2788,https://icowatchlist.com/ico/golem,275
